Interface Label,Required/Optional,Definition,Ontology ID,Value Type,Example,Guidance,Comments,
Coverage (%),Optional,The percentage of the reference sequence covered by the sequence of interest.,OBI:0002880,Float,90,"The sequences can refer to reads and genome, nucelotides and genes, or amino acids and proteins. This value should be normalized and expressed as percentage. Do not include the ""%"" sign in the value. Either ""% Coverage (breadth)"" of ""Coverage (breadth) is required.","Comment: I think this should be mandatory; if you have a hit for a gene, the first question you have is the % identity and % length. This is necessary context to determine whether it's likely a functional protein.",
Coverage (ratio),Optional,The ratio of the reference sequence covered by the sequence of interest.,OBI:0002881,ratio?,450/500,"The sequences can refer to reads and genome, nucelotides and genes, or amino acids and proteins. This value should not be normalized and expressed as the ratio of actual positions being compared e.g. 450/500. Either ""% Coverage (breadth)"" of ""Coverage (breadth) is required.",,
Sequence Identity,Mandatory,Sequence identity is the number (%) of matches (identical characters) in positions from an alignment of two molecular sequences.,OBI:0002882,Float,1,"The sequences can refer to reads and genome, nucelotides and genes, or amino acids and proteins. The value should be expressed as a percentage. Do not include the ""%"" sign in the value.",,
Reference Database Name,Mandatory,An identifier of a biological or bioinformatics database.,OBI:0002883,String,"ncbi, ResFinder",,,
Reference Database Version,Mandatory,An identifier tracking the state of a database as it changes over time.,OBI:0002884,String,,,ISSUE: No standards available for database versioning,
Reference Accession,Mandatory,An identifier that specifies an individual sequence record in a public sequence repository.,OBI:0002885,String,NF000491.1 ,,,
Reference Gene Length,Optional,The length (number of positions) of a gene reference sequence retrieved from a database.,OBI:0002888,Int,657,,"more specific term under ""Genetic Sequence Length (NCIT:C135487)""",
Reference Protein Length,Optional,The length (number of positions) of a protein reference sequence retrieved from a database.,OBI:0002889,Int,219,,,
Input Gene Length,Optional,The length (number of positions) of a target gene sequence submitted by a user.,OBI:0002891,Int,657,,"more specific term under ""Genetic Sequence Length (NCIT:C135487)""",
Input Protein Length,Optional,The length (number of positions) of a protein target sequence submitted by a user.,OBI:0002892,Int,219,,,
Drug Class,Optional,"In an antimicrobial context, a drug class is a set of antibiotic molecules, including antibiotic/adjuvant combination medications, with similar chemical structures, molecular targets, and/or modes and mechanisms of action.",ARO:3005165,String,Phenicol,Standardized terms from the ChEBI ontology should be used. Find terms using https://www.ebi.ac.uk/ols/ontologies/chebi. Can be left blank if not provided.,,
Antimicrobial Agent ,Optional,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans.",CHEBI:33281,String,CHLORAMPHENICOL,This should describe a specific agent. Standardized terms from the ChEBI ontology should be used. Find terms using https://www.ebi.ac.uk/ols/ontologies/chebi. Can be left blank if not provided.,,
Resistance mechanism,Optional,"Antibiotic resistance mechanisms evolve naturally via natural selection through random mutation, but it could also be engineered by applying an evolutionary stress on a population.",ARO:1000002,String,target alteration,Standardized terms from the ChEBI ontology should be used. Find terms using https://www.ebi.ac.uk/ols/ontologies/aro. Can be left blank if not provided. ,,
Analysis Software Name,Mandatory,"A name of a computer package, application, method or function used for analysis of data.",OBI:0002894,String,amrfinder,Not typically included in an AMR prediction output. The user may have to provide the value.,,
Analysis Software Version,Mandatory,A form or variant of software used to analyze data.,OBI:0002896,String,1.2.5,Not typically included in an AMR prediction output. The user may have to provide the value. Semantic versioning is strongly recommended.,https://semver.org/,"Comment: the version of the gene database is more typical than the software, so this should perhaps not be required"
